2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Mesoplodon_grayi###439750502.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Egretta_sacra_sacra###291570894.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Thenus_orientalis###277209548.jpg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Saxidomus_gigantea###107161552.jpg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Eubalichthys_cyanoura###322727263.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Laevicardium_elatum###386951108.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Amblyeleotris_arcupinna###289069000.jpg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Scomber_australasicus###349988050.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Cephalopholis_leopardus###384198418.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ancula_lentiginosa###434200139.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Trisopterus_esmarkii###GOOGLE007.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Chelidonichthys_obscurus###374377045.jpeg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ceriodaphnia_reticulata###367579356.jpg
2025-03-13 23:07:57 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Apterichtus_caecus###286673785.jpeg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Clarias_batrachus###440153956.jpeg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Chilomycterus_antennatus###418752013.jpg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Kyphosus_vaigiensis###447615647.jpg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Raja_asterias###83602153.jpeg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Anas_chlorotis###443278482.jpeg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Apogon_atradorsatus###390054496.jpeg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Caecum_orcutti###27791706.jpeg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Leiognathus_brevirostris###GOOGLE002.jpeg
2025-03-13 23:07:58 - INFO - Processing image: /data2/wuxinrui/Projects/ICCV/MIMC_FINAL/seen/test_list/Ophidiaster_cribrarius###GOOGLE001.jpeg
